gameid,ref,att
202101290OKC,"['Tony Brown', 'Andy Nagy', 'Dedric Taylor']",0
202101290ORL,"['Simone Jelks', 'Aaron Smith', 'James Williams']",3763
202101290SAS,"['J.B. DeRosa', 'Kevin Scott', 'Justin Van Duyne']",0
202101290TOR,"['Mitchell Ervin', 'Rodney Mott', 'Natalie Sago']",0
202101290UTA,"['Scott Foster', 'Phenizee Ransom', 'Tom Washington']",1932
202101290WAS,"['Mark Ayotte', 'Jacyn Goble', 'Brett Nansel']",0
202101300BOS,"['Brian Forte', 'Jason Goldenberg', 'Josh Tiven']",0
202101300CHI,"['Eric Dalen', 'John Goble', 'Dannica Mosher']",0
202101300CHO,"['Sean Corbin', 'David Guthrie', 'Karl Lane']",0
202101300DAL,"['James Capers Jr.', 'John Conley', 'Ben Taylor']",0
202101300GSW,"['Kevin Cutler', 'Ed Malloy', 'Brandon Schwab']",0
202101300MIA,"['Brent Barnaky', 'Tony Brothers', 'Robert Hussey']",0
202101300NOP,"['Matt Boland', 'Marc Davis', 'Nate Green']",1440
202101300SAS,"['J.B. DeRosa', 'Courtney Kirkland', 'Justin Van Duyne']",0
202101310DEN,"['Tony Brown', 'Derrick Collins', 'Brett Nansel']",0
202101310IND,"['Ray Acosta', 'Phenizee Ransom', 'Michael Smith']",0
202101310MIN,"['Curtis Blair', 'John Butler', 'Rodney Mott']",0
202101310NYK,"['Bill Kennedy', 'Scott Wall', 'C.J. Washington']",0
202101310TOR,"['Matt Kallio', 'Dedric Taylor', 'Zach Zarba']",0
202101310WAS,"['Jacyn Goble', 'Gediminas Petraitis', 'Evan Scott']",0
202102010ATL,"['Mousa Dagher', 'Mitchell Ervin', 'David Guthrie']",1341
202102010CHI,"['Eric Dalen', 'John Goble', 'Jason Goldenberg']",0
202102010CLE,"['Brian Forte', 'Dannica Mosher', 'Josh Tiven']",0
202102010DAL,"['Sean Corbin', 'Courtney Kirkland', 'Leroy Richardson']",0
202102010MIA,"['Tony Brothers', 'Simone Jelks', 'James Williams']",0
202102010MIL,"['Karl Lane', 'Danielle Scott', 'Kevin Scott']",0
202102010NOP,"['Matt Boland', 'James Capers Jr.', 'John Conley']",1440
202102010OKC,"['Mark Ayotte', 'Kevin Cutler', 'Andy Nagy']",0
202102010SAS,"['Marc Davis', 'Marat Kogut', 'Brandon Schwab']",0
202102020BRK,"['Brandon Adair', 'Jacyn Goble', 'Bill Kennedy']",0
202102020GSW,"['Tony Brown', 'Derrick Collins', 'J.B. DeRosa']",0
202102020IND,"['Rodney Mott', 'Evan Scott', 'Ben Taylor']",0
202102020ORL,"['Matt Kallio', 'Gediminas Petraitis', 'Michael Smith']",3211
202102020UTA,"['John Butler', 'Ed Malloy', 'Leon Wood']",3902
202102020WAS,"['Kane Fitzgerald', 'Dedric Taylor', 'C.J. Washington']",0
202102030ATL,"['Bennie Adams', 'David Guthrie', 'Lauren Holtkamp-Sterling']",1259
202102030CHI,"['Mitchell Ervin', 'Leroy Richardson', 'Kevin Scott']",0
202102030CHO,"['Tony Brothers', 'Eric Dalen', 'Brandon Schwab']",0
202102030CLE,"['Brian Forte', 'Dannica Mosher', 'Josh Tiven']",1944
202102030MIA,"['Matt Boland', 'Simone Jelks', 'Eric Lewis']",0
202102030MIL,"['James Capers Jr.', 'Karl Lane', 'Andy Nagy']",0
202102030NOP,"['John Goble', 'Jason Goldenberg', 'Tom Washington']",1440
202102030OKC,"['Kevin Cutler', 'Courtney Kirkland', 'Danielle Scott']",0
202102030SAC,"['Mark Ayotte', 'Derrick Collins', 'Justin Van Duyne']",0
202102030SAS,"['John Conley', 'Marc Davis', 'Jonathan Sterling']",0
202102040ATL,"['Bill Kennedy', 'Jenna Schroeder', 'James Williams']",1261
202102040DAL,"['Ken Mauer', 'Suyash Mehta', 'Gediminas Petraitis']",0
202102040LAL,"['Tony Brown', 'J.B. DeRosa', 'Marat Kogut']",0
202102040MEM,"['John Butler', 'Rodney Mott', 'Ben Taylor']",1762
202102040PHI,"['Mousa Dagher', 'Tre Maddox', 'Dedric Taylor']",0
202102050BRK,"['Karl Lane', 'Natalie Sago', 'Josh Tiven']",0
202102050CHO,"['Brandon Schwab', 'Kevin Scott', 'Tom Washington']",0
202102050CLE,"['Bennie Adams', 'Tony Brothers', 'Kevin Cutler']",2720
202102050IND,"['John Conley', 'Scott Foster', 'Leon Wood']",0
202102050LAC,"['Derrick Collins', 'Kane Fitzgerald', 'Justin Van Duyne']",0
202102050MIA,"['Brian Forte', 'Lauren Holtkamp-Sterling', 'Ashley Moyer-Gleich']",0
202102050OKC,"['John Goble', 'Dannica Mosher', 'Aaron Smith']",0
202102050ORL,"['Jacyn Goble', 'Eric Lewis', 'Evan Scott']",3535
202102050PHO,"['Ray Acosta', 'Courtney Kirkland', 'Matt Myers']",0
202102060ATL,"['Jenna Schroeder', 'Dedric Taylor', 'James Williams']",991
202102060CLE,"['Kevin Cutler', 'Andy Nagy', 'Ben Taylor']",2720
202102060DAL,"['Jason Goldenberg', 'Gediminas Petraitis', 'Zach Zarba']",0
202102060HOU,"['Mitchell Ervin', 'David Guthrie', 'Suyash Mehta']",3313
202102060LAL,"['Tony Brown', 'Marat Kogut', 'Jonathan Sterling']",0
202102060NOP,"['Brent Barnaky', 'Robert Hussey', 'Bill Kennedy']",1440
202102060NYK,"['Sean Corbin', 'Eric Dalen', 'Phenizee Ransom']",0
202102060OKC,"['John Butler', 'John Goble', 'Aaron Smith']",0
