index;TeamsRaw;Bookmaker;OddHome;OddAway;DateRaw;ScoreRaw;TO_KEEP;Home_id;Away_id;Date;Score_home;Score_away;Season
4558;Cleveland Cavaliers - Oklahoma City Thunder;Unibet;-156;+127;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
4559;Cleveland Cavaliers - Oklahoma City Thunder;William Hill;-161;+140;Sunday, 25 Jan 2015, 19:30;Final result 108:98 (20:26, 37:23, 26:29, 25:20);1;Cleveland Cavaliers;Oklahoma City Thunder;25 Jan 2015;108;98 ;2014-2015
4582;Chicago Bulls - Miami Heat;bet-at-home;-357;+258;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4583;Chicago Bulls - Miami Heat;bet365;-370;+280;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4584;Chicago Bulls - Miami Heat;bwin;-357;+280;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4585;Chicago Bulls - Miami Heat;Marathonbet;-345;+315;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4586;Chicago Bulls - Miami Heat;Pinnacle;-345;+297;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4587;Chicago Bulls - Miami Heat;Unibet;-357;+275;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4588;Chicago Bulls - Miami Heat;William Hill;-345;+275;Sunday, 25 Jan 2015, 17:00;Final result 84:96 (20:26, 18:22, 24:26, 22:22);1;Chicago Bulls;Miami Heat;25 Jan 2015; 84;96 ;2014-2015
4611;Portland Trail Blazers - Washington Wizards;bet-at-home;+125;-161;Sunday, 25 Jan 2015, 02:00;Final result 103:96 (20:32, 25:23, 24:15, 34:26);1;Portland Trail Blazers;Washington Wizards;25 Jan 2015;103;96 ;2014-2015
