gameId,homeTeamElo,awayTeamElo,homeTeamEloAfter,awayTeamEloAfter
201912080LAL,1634.600246261106,1468.829784878305,1639.2044124475847,1464.2256186918262
201912080MIA,1585.6154749860325,1368.1220694329184,1587.2761565809867,1366.4613878379641
201912080PHI,1610.341381328311,1665.4041770084182,1617.3899940578106,1658.3555642789186
201912080POR,1529.3648291237942,1524.850559686395,1514.2756544744636,1539.9397343357255
201912080WAS,1430.6278255816164,1597.786662793977,1420.5950519852624,1607.819436390331
201912090BOS,1650.3763193215755,1301.6515569288515,1652.2994898597372,1299.7283863906898
201912090CHI,1366.4613878379641,1658.3555642789186,1364.8304024683523,1659.9865496485304
201912090GSW,1438.4178437930823,1375.5266250603554,1424.6771754187255,1389.2672934347122
201912090HOU,1650.412984002611,1455.8400385686225,1642.3231266634998,1463.9298959077337
201912090IND,1572.3857264717058,1607.819436390331,1559.7105829693676,1620.4945798926692
201912090MIL,1738.2908106254665,1524.5808379725545,1740.6372888695535,1522.2343597284676
201912090NOP,1384.865164886658,1470.5228688358825,1380.156611276841,1475.2314224456995
201912090PHO,1412.318720096765,1464.2256186918262,1424.9689133197744,1451.5754254688168
201912090UTA,1559.2746960314923,1539.9397343357255,1541.8923907244284,1557.3220396427894
201912100CHO,1400.0926665798718,1420.5950519852624,1406.7221257257156,1413.9655928394186
201912100MIA,1587.2761565809867,1382.039822516759,1590.5276509031507,1378.788328194595
201912100PHI,1617.3899940578106,1596.7939286542137,1622.002268502654,1592.1816542093702
201912100POR,1514.2756544744636,1268.6000363820178,1518.4567556513857,1264.4189352050957
201912110BRK,1504.854319012586,1406.7221257257156,1493.2801294776825,1418.2963152606192
201912110CHI,1364.8304024683523,1378.788328194595,1383.1805930400267,1360.4381376229205
201912110CLE,1299.7283863906898,1642.3231266634998,1297.32040913029,1644.7311039238996
201912110GSW,1424.6771754187255,1264.4189352050957,1415.617489581599,1273.4786210422221
201912110IND,1559.7105829693676,1652.2994898597372,1567.1488272462987,1644.861245582806
201912110MIL,1740.6372888695535,1380.156611276841,1742.0154903734676,1378.7784097729268
201912110MIN,1451.5754254688168,1541.8923907244284,1441.0199254173303,1552.4478907759149
201912110ORL,1522.2343597284676,1639.2044124475847,1513.7678514831305,1647.6709206929218
201912110PHO,1424.9689133197744,1389.2672934347122,1413.0884507819887,1401.1477559724979
201912110SAC,1463.9298959077337,1557.3220396427894,1468.2151072193863,1553.0368283311368
201912110TOR,1659.9865496485304,1620.4945798926692,1636.6236236431562,1643.8575058980434
201912120BOS,1644.861245582806,1622.002268502654,1634.3096871408898,1632.5538269445703
201912120DEN,1592.1816542093702,1518.4567556513857,1599.019884468929,1511.618525391827
201912120DET,1475.2314224456995,1576.3466532836978,1465.0768296528877,1586.5012460765097
201912120SAS,1469.2653698943575,1297.32040913029,1451.8502222607144,1314.7355567639331
201912130ATL,1360.4381376229205,1567.1488272462987,1354.1853795536156,1573.4015853156036
201912130CHI,1383.1805930400267,1418.2963152606192,1371.223190034377,1430.2537182662688
201912130MEM,1401.1477559724979,1742.0154903734676,1397.2975569850908,1745.8656893608747
201912130MIA,1590.5276509031507,1647.6709206929218,1584.5252943763692,1653.6732772197033
201912130MIN,1441.0199254173303,1643.8575058980434,1435.8637006276124,1649.0137306877614
201912130ORL,1513.7678514831305,1644.7311039238996,1498.8667326958255,1659.6322227112046
